Date,Price
2023-01-01,150.45
2023-01-02,152.30
2023-01-03,153.25
2023-01-04,151.80
2023-01-05,150.90
2023-01-06,151.00
2023-01-07,151.50
2023-01-08,152.00
2023-01-09,153.00
2023-01-10,154.00
2023-01-11,153.50
2023-01-12,152.80
2023-01-13,153.10
2023-01-14,153.70
2023-01-15,250.20
2023-01-16,153.50
2023-01-17,154.30
2023-01-18,155.00
2023-01-19,155.30
2023-01-20,-55.00
2023-01-21,154.80
2023-01-22,154.50
2023-01-23,154.70
2023-01-24,154.90
2023-01-25,155.00
2023-01-26,155.20
2023-01-27,155.10
2023-01-28,154.80
2023-01-29,154.60
2023-01-30,154.90
2023-01-01,150.45
2023-01-02,152.30
2023-01-03,153.25
2023-01-04,151.80
2023-01-05,150.90
2023-01-06,151.00
2023-01-07,151.50
2023-01-08,152.00
2023-01-09,153.00
2023-01-10,154.00
2023-01-11,153.50
2023-01-12,152.80
2023-01-13,153.10
2023-01-14,153.70
2023-01-15,150.20
2023-01-16,153.50
2023-01-17,154.30
2023-01-18,155.00
2023-01-19,155.30
2023-01-20,155.00
2023-01-21,154.80
2023-01-22,154.50
2023-01-23,154.70
2023-01-24,154.90
2023-01-25,155.00
2023-01-26,155.20
2023-01-27,155.10
2023-01-28,154.80
2023-01-29,154.60
2023-01-30,154.90
